Title,Authors,#Pages,Price,Currency,Subjects,Bisac
Exploring the Coast Mountains on Skis : A Guidebook to Mountain Ski Touring in South Western British Columbia,John Baldwin,255,19.95,CND,"BRITISH COLUMBIA_DESCRIPTION AND TRAVEL , SKIS AND SKIING , SKIS AND SKIING_DIRECTORIES","SPO039000 , TRV006050"
Extreme Ironing,Phil Shaw,96,,,"EXTREME SPORTS , LAUNDRY","SPO064000 , HOM019000"
"Eyes on the Prize : America's Civil Rights Years, 1954-1965",Juan Williams,"xv, 300",,,AFRICAN AMERICANS_CIVIL RIGHTS,POL004000
Failed States : The Abuse of Power and the Assault on Democracy,Noam Chomsky,328,26.95,AUD,"POLITICS , INTERNATIONAL RELATIONS , NUCLEAR NONPROLIFERATION , SECURITY, INTERNATIONAL , BUSH, GEORGE W. (GEORGE WALKER), 1946- , UNITED STATES_POLITICS AND GOVERNMENT_2001-2009 , WAR ON TERRORISM, 2001-2009 , UNITED STATES_FOREIGN RELATIONS_2001-2009 , IRAQ WAR, 2003-2011","POL000000 , BIO011000 , POL040000 , HIS027170 , POL012000 , POL011000 , POL001000 , POL037000"
Fantastic,René Goscinny and A. Uderzo,,,,,
Fatal Winter,G. M. Malliet,416,16.99,AUD,"FICTION_MYSTERY & DETECTIVE_GENERAL , FICTION_CRIME","FIC022000 , FIC050000"
Feathernail and Other Gifts : Or the adventures of Emily Finfeather,E. E. King,,6.99,USD,"CHILDREN'S FICTION , FICTION_FANTASY_GENERAL","FIC009000 , JUV000000"
Fierce Invalids Home from Hot Climates,Tom Robbins,713,,,"LARGE TYPE BOOKS , FICTION_ACTION & ADVENTURE , FICTION_VISIONARY & METAPHYSICAL","FIC039000 , FIC002000"
Final Flight,Stephen Coonts,464,,,"FICTION_ACTION & ADVENTURE , FICTION_THRILLERS , GRAFTON, JAKE (FICTITIOUS CHARACTER)_FICTION , MEDITERRANEAN REGION_FICTION , TERRORISM_FICTION","FIC031000 , FIC002000"
Five People You Meet in Heaven,Mitch Albom,336,,,"FICTION_PSYCHOLOGICAL , LARGE TYPE BOOKS",FIC025000
Flyboys : The Final Secret of the Air War in the Pacific,James Bradley,416,,,"WORLD WAR, 1939-1945_ATROCITIES , WORLD WAR, 1939-1945_JAPAN , WORLD WAR, 1939-1945_PRISONERS AND PRISONS, JAPANESE , AIR PILOTS_BIOGRAPHY , PRISONERS OF WAR , WAR CRIME TRIALS","HIS027000 , HIS027100 , BIO000000 , LAW068000"
Food Rules : An Eater's Manual,Michael Pollan,160,,,"DIET , FOOD HABITS , NUTRITION","MED060000 , SOC055000 , HEA006000"
Forever,Pete Hamill,624,,,"NEW YORK (N.Y.)_FICTION , FICTION_GENERAL",FIC000000
For One More Day,Mitch Albom,208,,,"MOTHERS AND SONS_FICTION , FICTION_PSYCHOLOGICAL",FIC025000
For the New Intellectual : The Philosophy of Ayn Rand,Ayn Rand,1,,,INTELLECTUALS,BIO000000
Fragrant : The Secret Life of Scent,Mandy Aftel,276,,,"SMELL , ODORS , MINTS (PLANTS) , GUMS AND RESINS , FLOWERS","SCI013000 , SCI056000 , NAT013000 , NAT026000 , TEC021000"
Freedom,Jonathan Franzen,570,,,"FICTION_FAMILY LIFE , MARRIED PEOPLE_FICTION , SAINT PAUL (MINN.)_FICTION",FIC045000
Free-Heel Skiing : Telemark and Parallel Techniques for All Condition,Paul Parker,205,,,SKIS AND SKIING,SPO039000
Free Ride : How the Internet Is Destroying the Culture Business and How the Culture Business Can Fight Back,Robert Levine,320,,,"DIGITAL MEDIA , INTERNET_SOCIAL ASPECTS","COM087000 , COM079000"
"From the Mind to the Marketplace : The Story of an Inventor, the Home Improvement Industry, His Wife and Her Lovers",Jayne Seagrave,144,,,"INVENTIONS , NEW PRODUCTS , INVENTORS","BUS000000 , TEC057000 , BIO015000"
Galen Rowell's Vision : The Art of Adventure Photography,Galen A. Rowell and Steve Werner,288,,,"TRAVEL PHOTOGRAPHY , PHOTOGRAPHY, ARTISTIC","PHO019000 , PHO000000"
Galileo on the World Systems : A New Abridged Translation and Guide,"Galileo Galilei, Maurice A. Finocchiaro and Maurice A. Finocchiaro",387,,,"GALILEI, GALILEO, 1564-1642 , ASTRONOMY_EARLY WORKS TO 1800 , SOLAR SYSTEM","SCI004000 , BIO015000"
Genocide of One : A Thriller,Kazuaki Takano and Philip Gabriel,512,,,"FICTION_FANTASY_GENERAL , FICTION_WAR & MILITARY , FICTION_SUSPENSE","FIC009000 , FIC030000 , FIC032000"
Get Katja,Simon Logan,250,,,FICTION_SCIENCE FICTION_GENERAL,FIC028000
Getting to Yes : Negotiating Agreement Without Giving In,"Roger Fisher, William Ury and Bruce M. Patton",224,,,NEGOTIATION,LAN004000
Getting to Yes : Negotiating Agreement Without Giving In,Roger Fisher and William Ury,161,,,NEGOTIATION,LAN004000
Giants : Memories and Memorabilia from a Century of Baseball,Bruce Chadwick and David M. Spindel,156,,,"NEW YORK GIANTS (BASEBALL TEAM) , SAN FRANCISCO GIANTS (BASEBALL TEAM)","SPO003000 , SPO003030"
Giants of the Polo Grounds : The Glorious Times of Baseball's New York Giants,Noel Hynd,396,,,"NEW YORK GIANTS (BASEBALL TEAM) , BASEBALL_HISTORY",SPO003030
Glenn Gould : The Ecstasy and Tragedy of Genius,Peter F. Ostwald,416,,,"GOULD, GLENN, 1932-1982 , PIANISTS_BIOGRAPHY , MUSICIANS_CANADA , GENIUS","BIO004000 , PSY000000"
Glory of Their Times : The Story of the Early Days of Baseball Told by the Men Who Played It,Lawrence S. Ritter,368,26.5,CND,"BASEBALL_HISTORY , BASEBALL PLAYERS","SPO003000 , SPO003030"
God Bless You - Mr. Rosewater,Kurt Vonnegut,192,,,AMERICAN FICTION (FICTIONAL WORKS BY ONE AUTHOR),FIC019000
God Is Not Great : How Religion Poisons Everything,Christopher Hitchens,320,26.95,AUD,"RELIGION AND STATE , GOD , RELIGION AND POLITICS , RELIGION , RELIGION AND SOCIOLOGY , RATIONALISM","REL084000 , SOC039000 , PHI032000 , REL000000"
Gods of Guilt,Michael Connelly,397,32.99,AUD,"FICTION_THRILLERS , LAWYERS_FICTION , FICTION_SUSPENSE , CRIME_FICTION , FICTION_LEGAL","FIC031000 , FIC034000 , FIC030000 , FIC050000"
Good Girls Don't,Victoria Dahl,320,,,"FICTION , ROMANCE","FIC027000 , FIC000000"
Grapes of Wrath,John Steinbeck,544,,,"AMERICAN FICTION (FICTIONAL WORKS BY ONE AUTHOR) , CALIFORNIA_FICTION",FIC019000
Gravity's Rainbow,Thomas Pynchon,912,,,AMERICAN FICTION (FICTIONAL WORKS BY ONE AUTHOR),FIC019000
"Great by Choice : Uncertainty, Chaos, and Luck--Why Some Thrive Despite Them All",Jim Collins and Morten T. Hansen,320,,,"SUCCESS IN BUSINESS , CREATIVE ABILITY IN BUSINESS , TECHNOLOGICAL INNOVATIONS","BUS107000 , TEC000000"
Grimoires : A History of Magic Books,Owen Davies,384,,,MAGIC_HISTORY,OCC028000
Growing a Business,Paul Hawken,256,,,SMALL BUSINESS_MANAGEMENT,BUS060000
Growing up with 'Shoeless Joe' : The Greatest Natural Player in Baseball History,"E. Joe Thompson, Jack L. Thompson and Mary Jane McCloskey","xvi, 284",65,USD,"JACKSON, JOE, 1888-1951 , LARGE TYPE BOOKS",SPO003000
"Guerrilla Social Media Marketing : 100+ Weapons to Grow Your Online Influence, Attract Customers, and Drive Profits",Jay Conrad Levinson and Shane Gibson,250,,,"INTERNET MARKETING , CUSTOMER RELATIONS , SOCIAL MEDIA","BUS090010 , BUS018000 , COM060150"
Guide to Climbing and Hiking in Southwestern British Columbia,Bruce Fairley,385,29.95,CND,"BRITISH COLUMBIA_DESCRIPTION AND TRAVEL , HIKING , ROCK CLIMBING","SPO029000 , SPO018000 , TRV006050"
Gunslinger,Stephen King,304,,,"FICTION_FANTASY_EPIC , DARK TOWER (IMAGINARY PLACE)_FICTION , ROLAND (FICTITIOUS CHARACTER : KING)_FICTION",FIC009020
Halfway to the Grave,Jeaniene Frost,384,,,"FICTION_ROMANCE_SUSPENSE , VAMPIRES_FICTION , FICTION_HUMOROUS","FIC027110 , FIC016000 , FIC024000"
Handful of Dust,Evelyn Waugh,1,,,BRITISH AND IRISH FICTION (FICTIONAL WORKS BY ONE AUTHOR),FIC019000
Hard Light,Michael Crummey,128,,,LIGHT,SCI053000
Harvard's Secret Court : The Savage 1920 Purge of Campus Homosexuals,William Wright,304,,,"HARVARD UNIVERSITY_HISTORY , DISCRIMINATION IN EDUCATION , GAYS_LEGAL STATUS, LAWS, ETC.","EDU015000 , SOC031000 , LAW043000"
Heart-Shaped Box,Joe Hill,416,,,"FICTION_GHOST , FICTION_SUSPENSE","FIC012000 , FIC030000"
Heaven's Coast : A Memoir,Mark Doty,313,,,"AIDS (DISEASE)_PATIENTS_BIOGRAPHY , GAY MEN , POETS_BIOGRAPHY , GRIEF","BIO007000 , HEA039020 , FAM014000 , SOC012000"
Hen Who Dreamed She Could Fly,"Sun-Mi Hwang, Chi-Young Kim and Nomoco",144,,,FICTION_GENERAL,FIC000000
History of Western Philosophy,Bertrand Russell,895,,,PHILOSOPHY_HISTORY,PHI009000
Home Run : The Best Writing about Baseball's Most Exciting Moment,George Plimpton,278,13,USD,BASEBALL_ANECDOTES,SPO003020
Hooked : A Guide to Building Habit-Forming Products,Nir Eyal and Ryan Hoover,192,31.55,USD,"NEW PRODUCTS , CONSUMER BEHAVIOR , INDUSTRIAL DESIGN","TEC016000 , BUS000000 , BUS016000"
Horizon,Alyson Noël,336,,,"CHILDREN'S FICTION , FANTASY FICTION","JUV037000 , JUV000000"
Hot Tips for Real Estate Investors,Robert S. Thomson and Aqlim Barlas,84,9.95,CND,REAL ESTATE INVESTMENT,BUS036050
Housemaid's Daughter,Barbara Mutch,416,,,"FICTION_GENERAL , SOUTH AFRICA_FICTION",FIC000000
How Google Works,"Eric Schmidt, Jonathan Rosenberg, Larry Page and Alan Eagle",304,,,"GOOGLE , INTERNET INDUSTRY , INDUSTRIAL MANAGEMENT_UNITED STATES","COM060120 , BUS070030 , BUS082000"
How I Came to Sparkle Again,Kaya McLaren,382,,,,
How Proust Can Change Your Life,Alain de Botton,224,,,"PROUST, MARCEL, 1871-1922 , AMERICAN WIT AND HUMOR_ARTS AND LETTERS , FRENCH LITERATURE_HISTORY AND CRITICISM , SELF-HELP TECHNIQUES","SEL000000 , HUM000000 , LIT004150"
How to Be a Man : A Guide to Style and Behaviour for the Modern Gentleman,Glenn O'Brien,304,,,"FASHIONS , HEALTH","HEA000000 , DES005000"
How to Help Children Through a Parent's Serious Illness : Supportive Practical Advice from a Leading Child Life Specialist,Kathleen McCue and Ron Bonn,240,,,"PARENT AND CHILD , SICK_FAMILY RELATIONSHIPS , FAMILY PSYCHOTHERAPY","FAM034000 , HEA039000 , PSY041000"
How to Survive a Sharknado--And Other Unnatural Disasters : Fight Back When Monsters and Mother Nature Attack,Andrew Shaffer,224,,,HUMOR_FORM_PARODIES,HUM007000
How to Write Short : Word Craft for Fast Times,Roy Peter Clark,272,,,"ENGLISH LANGUAGE_RHETORIC , REPORT WRITING","LAN015000 , REF026000"
Iceman : The True Story of a Cold-Blooded Killer,Anthony Bruno,"x, 289",,,FICTION_GENERAL,FIC000000
If Only I'd Said That,Peter Legge and Duncan Holmes,,29.95,CND,"CONDUCT OF LIFE_QUOTATIONS, MAXIMS, ETC. , QUOTATIONS , SUCCESS","SEL000000 , REF019000 , SEL027000"
If You Find Me,Emily Murdoch,304,,,"CHILDREN'S FICTION , SISTERS_FICTION , CHILD ABUSE_FICTION , FAMILY LIFE_FICTION , TENNESSEE_FICTION","JUV013000 , JUV013070 , JUV039010 , JUV000000 , JUV030060"
Iliad,Homer,542,16.99,AUD,POETRY (POETIC WORKS BY ONE AUTHOR),POE000000
I Moved Your Cheese : For Those Who Refuse to Live as Mice in Someone Else's Maze,Deepak Malhotra,120,,,"ORGANIZATIONAL CHANGE , CHANGE (PSYCHOLOGY) , DIDACTIC LITERATURE","BUS103000 , PSY000000 , LCO000000"
Imperial Ambitions : Conversations on the Post-9/11 World,Noam Chomsky,240,,,"CHOMSKY, NOAM, 1928- , WORLD POLITICS_1989- , SOCIAL PROBLEMS , UNITED STATES_POLITICS AND GOVERNMENT_2001-2009 , UNITED STATES_FOREIGN RELATIONS_2001-2009","LAN009000 , SOC026000 , POL040000 , POL011000 , POL040020"
Imperial Cruise : A Secret History of Empire and War,James Bradley,400,,,"ROOSEVELT, THEODORE, 1858-1919 , TAFT, WILLIAM H. (WILLIAM HOWARD), 1857-1930 , UNITED STATES_NAVY_HISTORY , IMPERIALISM , UNITED STATES_HISTORY, NAVAL , UNITED STATES_FOREIGN RELATIONS_JAPAN , JAPAN_FOREIGN RELATIONS_UNITED STATES , UNITED STATES_FOREIGN RELATIONS_EAST ASIA , EAST ASIA_FOREIGN RELATIONS","BIO011000 , HIS027110 , HIS027150 , POL047000 , POL011000"
"I'm Sorry I Broke Your Company : When Consultants Are the Problem, Not the Solution",Karen Phelan,240,,,"BUSINESS CONSULTANTS , REENGINEERING (MANAGEMENT) , ORGANIZATIONAL EFFECTIVENESS , PERSONNEL MANAGEMENT","BUS041000 , BUS075000 , BUS030000"
In a Sunburned Country,Bill Bryson,592,,,"AUSTRALIA_DESCRIPTION AND TRAVEL , LARGE TYPE BOOKS",TRV004000
Influence : Portable Power for the '90s,,74,,,"INFLUENCE (PSYCHOLOGY) , PERSUASION (PSYCHOLOGY) , SUCCESS_PSYCHOLOGICAL ASPECTS , COMMUNICATION IN MANAGEMENT","PSY000000 , SEL027000 , BUS041000"
Influence : Science and Practice,Robert B. Cialdini,262,,,"PERSUASION (PSYCHOLOGY) , INFLUENCE (PSYCHOLOGY)",PSY000000
"Information : A History, a Theory, a Flood",James Gleick,544,,,"INFORMATION SOCIETY , INFORMATION SCIENCE , COMMUNICATION AND TECHNOLOGY , INFORMATION SUPERHIGHWAY , INFORMATION THEORY , COMMUNICATION","COM031000 , LAN025000 , LAN004000 , COM032000 , TEC052000"
Information Doesn't Want to Be Free : Laws for the Internet Age,"Neil Gaiman, Amanda Palmer and Amanda Palmer",192,,,"COPYRIGHT_UNITED STATES , AUTHORS AND PUBLISHERS , COPYRIGHT, INTERNATIONAL","LAN027000 , LAW050010"
In Pursuit of the Unknown : 17 Equations That Changed the World,Ian Stewart,352,,,"MATHEMATICS_HISTORY , EQUATIONS , PHYSICS_HISTORY","MAT015000 , MAT000000 , SCI055000"
In Search of the Perfect Loaf : A Home Baker's Odyssey,Samuel Fromartz,320,,,BREAD,CKB009000
Inside SEAL Team Six : My Life and Missions with America's Elite Warriors,Don Mann,304,,,"NAVAL BIOGRAPHY , MIDDLE EAST_BIOGRAPHY","BIO008000 , BIO000000"
Interesting Times,Terry Pratchett,288,,,"FICTION_FANTASY_GENERAL , DISCWORLD (IMAGINARY PLACE)_FICTION , RINCEWIND THE WIZARD (FICTITIOUS CHARACTER)_FICTION",FIC009000
Internet Is Not the Answer,Andrew Keen and James Nightingale,320,12.99,GBP,INTERNET_SOCIAL ASPECTS,COM079000
In the Heart of the Sea : The Tragedy of the Whaleship Essex,Nathaniel Philbrick,,,,"LARGE TYPE BOOKS , ESSEX (WHALESHIP) , SHIPWRECKS","TRA006010 , TRA006000"
In the Shadows of the Diamond,James Costello and Michael Santa-Maria,,19.95,USD,BASEBALL,SPO003000
Into the Wild,Jon Krakauer,224,,,"HITCHHIKING , WAYFARING LIFE , WEST (U.S.)_BIOGRAPHY , ADVENTURE AND ADVENTURERS , ALASKA_BIOGRAPHY","SOC026000 , TRV031000 , TRV010000 , BIO000000"
Introduction to Probability Models,Sheldon M. Ross,775,,,PROBABILITIES,MAT029000
Introduction to Quantum Mechanics,David J. Griffiths,416,,,QUANTUM THEORY,SCI057000
Introduction to Quantum Mechanics,Griffiths,,,,QUANTUM THEORY,SCI057000
Introduction to Seismology,Peter M. Shearer,409,,,SEISMOLOGY,SCI082000
Introduction to Thermal Physics,Daniel V. Schroeder,,,,PHYSICS,SCI055000
It's Not about the Bike : My Journey Back to Life,Lance Armstrong,300,24.95,AUD,"CANCER_PATIENTS_BIOGRAPHY , ATHLETES_BIOGRAPHY , ARMSTRONG, LANCE, 1971-","HEA039030 , BIO016000 , SPO011000"
It's Not about the Bike : My Journey Back to Life,Lance Armstrong and Sally Jenkins,304,24.95,AUD,"CANCER_PATIENTS_BIOGRAPHY , ATHLETES_BIOGRAPHY , ARMSTRONG, LANCE, 1971-","HEA039030 , BIO016000 , SPO011000"
Jackaby,William Ritter,304,,,"CHILDREN'S FICTION , MYSTERY AND DETECTIVE STORIES , CRIMINALS_FICTION , SUPERNATURAL_FICTION , MURDER_FICTION , NEW ENGLAND_FICTION","JUV021000 , JUV058000 , JUV028000 , JUV000000 , JUV030060"
Journal,,272,43.99,AUD,,
Juaquinito : A Manatee Hero,,32,7.95,USD,"CHILDREN'S FICTION , HEROES_FICTION","JUV001000 , JUV000000"
"Just Right Home : Buying, Renting, Moving - Or Just Dreaming - Find Your Perfect Match!",Marianne Cusato and Daniel DiClerico,384,,,"HOUSING_UNITED STATES , HOUSE BUYING , RENT , MOVING, HOUSEHOLD","BUS054000 , BUS054010 , POL002000 , HOM000000"
Kingdom,Amanda Stevens,384,9.99,CND,"FICTION_FANTASY_GENERAL , FICTION_SUSPENSE","FIC009000 , FIC030000"
King's Mountain,Sharyn McCrumb,336,,,"FICTION_HISTORICAL , UNITED STATES_HISTORY_REVOLUTION, 1775-1783_FICTION",FIC014000
Kite Runner,Khaled Hosseini,336,,,"FICTION_COMING OF AGE , AFGHANISTAN_FICTION , FRIENDSHIP_FICTION",FIC043000
"Ladies and Gentlemen, the Bible!",Jonathan Goldstein,256,24,CND,FICTION_CHRISTIAN_GENERAL,FIC042000
Lady Chatterly's Lover,D. H. Lawrence,420,9,USD,,
Land of the Giants : New York's Polo Grounds,Stew Thornley,200,,,"NEW YORK (N.Y.)_BUILDINGS, STRUCTURES, ETC. , BASEBALL FIELDS , BASEBALL_PICTORIAL WORKS , BASEBALL_HISTORY","TRV025050 , SPO003000 , SPO003030"
Last Days of Socrates : Euthyphro; the Apology; Crito; Phaedo - the Original Classic Edition,Plato,64,13.66,AUD,,
"Launch : An Internet Millionaire's Secret Formula to Sell Almost Anything Online, Build a Business You Love, and Live the Life of Your Dreams",Jeff Walker,206,,,"NEW BUSINESS ENTERPRISES , SMALL BUSINESS_MANAGEMENT , ENTREPRENEURSHIP , INTERNET MARKETING , ELECTRONIC COMMERCE","BUS048000 , BUS090010 , BUS025000 , BUS060000 , BUS090000"
Leader's Guide to Influence : How to Use Soft Skills to Get Hard Results,Mike Brent and Fiona Dent,248,,,"LEADERSHIP , INFLUENCE (PSYCHOLOGY) , COMMUNICATION IN MANAGEMENT , INTERPERSONAL RELATIONS","BUS071000 , PSY000000 , BUS041000 , PSY017000"
Leadership Secrets of Genghis Khan,John Man,192,,,"GENGHIS KHAN, 1162-1227",BIO006000
Lean B2B : Build Products Businesses Want,Étienne Garbugli,270,29.99,USD,,
Lean Customer Development : Building Products Your Customers Will Buy,Cindy Alvarez,240,,,"NEW PRODUCTS , CUSTOMER RELATIONS","BUS000000 , BUS018000"
Lean Enterprise : How Corporations Can Innovate Like Startups,"Trevor Owens, Obie Fernandez and Grace Ng",256,,,PRODUCTION MANAGEMENT,BUS087000
Lean Startup : How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries,336,,,"NEW BUSINESS ENTERPRISES , ORGANIZATIONAL EFFECTIVENESS , CONSUMER BEHAVIOR , ENTREPRENEURSHIP","BUS048000 , BUS041000 , BUS016000 , BUS025000"
Lean UX : Applying Lean Principles to Improve User Experience,Jeff Gothelf and Josh Seiden,152,,,"USER INTERFACES (COMPUTER SYSTEMS) , HUMAN-COMPUTER INTERACTION","COM070000 , COM079010"
Lemon,Cordelia Strube,260,,,"FICTION_CONTEMPORARY WOMEN , YOUNG WOMEN_FICTION , FICTION_SUSPENSE","FIC044000 , FIC030000"
"Less Doing, More Living : Make Everything in Life Easier",Ari Meisel,144,,,"LIFE SKILLS , TIME MANAGEMENT , STRESS MANAGEMENT","REF015000 , SEL024000 , SEL035000"
Life : A Natural History of the First Four Billion Years of Life on Earth,Richard Fortey,416,,,"LIFE_ORIGIN , EVOLUTION","SCI008000 , SCI027000"
"Likeable Social Media : How to Delight Your Customers, Create an Irresistible Brand, and Be Generally Amazing on Facebook (And Other Social Networks)",Dave Kerpen,272,,,"INTERNET MARKETING , ONLINE SOCIAL NETWORKS , SOCIAL MEDIA , CUSTOMER RELATIONS","BUS090010 , COM060150 , BUS018000 , COM060140"
Linchpin : Are You Indispensable?,Seth Godin,256,,,"EMPLOYEE MOTIVATION , CREATIVE THINKING , WORK_PSYCHOLOGICAL ASPECTS","BUS046000 , SEL009000 , PSY021000"
Linear Algebra with Applications,Bretscher,,,,"ALGEBRAS, LINEAR",MAT002050
Linking Project Management to Business Strategy,"Aaron J. Shenhar, Dragan Milosevic, Dov Dvir and Hans Thamhain",246,39.95,USD,"PROJECT MANAGEMENT , STRATEGIC PLANNING , INDUSTRIAL MANAGEMENT","BUS063000 , BUS101000 , BUS082000"
Listening Is an Act of Love : A Celebration of American Life from the StoryCorps Project,Dave Isay,304,,,"UNITED STATES_SOCIAL LIFE AND CUSTOMS , UNITED STATES_HISTORY_1945- , UNITED STATES_HISTORY_ANECDOTES , NATIONAL CHARACTERISTICS, AMERICAN , UNITED STATES_BIOGRAPHY , ORAL HISTORY","SOC008000 , HIS016000 , BIO000000 , HIS036060 , SOC005000 , HIS036000"
Little Folly,Jude Morgan,384,,,"SISTERS_FICTION , LONDON (ENGLAND)_FICTION , FICTION_HISTORICAL",FIC014000
Little Prince,,,12.95,USD,,
Lolita,Vladimir Nabokov,336,,,AMERICAN FICTION (FICTIONAL WORKS BY ONE AUTHOR),FIC019000
Los Angeles Dodgers : An Illustrated History,Richard Whittingham,,,,,
Lullabies for Little Criminals,Heather O'Neill,,,,CHILD AND YOUTH FICTION,JUV000000
MaddAddam,Margaret Atwood,416,,,"FICTION_DYSTOPIAN , FICTION_SATIRE , CANADIAN FICTION (FICTIONAL WORKS BY ONE AUTHOR)","FIC019000 , FIC052000 , FIC055000"
"Magenta Style Paper Enchantments : Create Charming Cards, Boxes, Ornaments, Albums, and More",Nathalie Metivier and Leslie Conron Carola,128,,,PAPER WORK,CRA025000
Making a Good Brain Great : The Amen Clinic Program for Achieving and Sustaining Optimal Mental Performance,Daniel G. Amen,336,,,"BRAIN , MENTAL HEALTH","PSY036000 , MED057000"
Making Money,Terry Pratchett,352,,,"FICTION_FANTASY_GENERAL , DISCWORLD (IMAGINARY PLACE)_FICTION",FIC009000
Managing Startups: Best Blog Posts,Thomas Eisenmann,452,,,NEW BUSINESS ENTERPRISES_PLANNING,BUS048000
Mao II,Don DeLillo,256,,,FICTION_GENERAL,FIC000000
March,Geraldine Brooks,288,45,AUD,"MARCH FAMILY (FICTITIOUS CHARACTERS)_FICTION , FATHERS AND DAUGHTERS_FICTION , UNITED STATES_HISTORY_CIVIL WAR, 1861-1865_FICTION , FICTION_HISTORICAL , FICTION_WAR & MILITARY","FIC014000 , FIC032000"
Marginated : Seventeenth-Century Printed Books and the Traces of Their Readers,"Sylvia Brown, John Considine, Bruce Peel Special Collections Library Staff and Library Staff University of Alberta",161,,,"EARLY PRINTED BOOKS_17TH CENTURY , BOOKS_OWNERS' MARKS , BOOKS_HISTORY_EXHIBITIONS , MARGINALIA , BOOKS AND READING",LIT007000
Mastermind : How to Think Like Sherlock Holmes,Maria Konnikova,288,,,"LOGIC , REASONING , HOLMES, SHERLOCK (FICTITIOUS CHARACTER) , WATSON, JOHN H. (FICTITIOUS CHARACTER)","PHI000000 , PHI011000 , LIT004230"
Master Switch : The Rise and Fall of Information Empires,Tim Wu,384,,,"TELECOMMUNICATION_HISTORY , INFORMATION TECHNOLOGY","TEC056000 , COM032000"
Maverick Startup : 11 X-Factors to Bootstrap from Zero to Six Figures and Beyond,Entrepreneur Press Staff and Yanik Silver,188,,,"NEW BUSINESS ENTERPRISES , SUCCESS IN BUSINESS","BUS048000 , BUS107000"
Meaning of the Illustrious Quran,Abdullah Y. Ali,990,7.5,USD,"KORAN , ISLAM","REL037000 , REL041000"
Meanings of the Illustrious Qur'An : Without Arabic Text,Abdullah Yusuf Ali,496,3,GBP,,
Meatless All Day : Recipes for Inspired Vegetarian Meals,Dina Cheney,208,,,VEGETARIAN COOKING,CKB086000
Meat Racket : The Secret Takeover of America's Food Business,Christopher Leonard,384,,,MEAT INDUSTRY AND TRADE,BUS070010
Me Before You,Jojo Moyes,490,,,"FICTION_CONTEMPORARY WOMEN , FICTION_ROMANCE_CONTEMPORARY , YOUNG WOMEN_FICTION , PEOPLE WITH DISABILITIES_FICTION","FIC044000 , FIC027020"
Midnight City : A Conquered Earth Novel,J. Barton Mitchell,384,,,"CHILDREN'S FICTION , SCIENCE FICTION , ADVENTURE AND ADVENTURERS_FICTION","JUV053000 , JUV001000 , JUV000000"
Midnight in Peking : How the Murder of a Young Englishwoman Haunted the Last Days of Old China,Paul French,304,32.95,AUD,"BEIJING (CHINA)_HISTORY , MURDER_CHINA","HIS008000 , TRU002000"
Minding Your Business : No-Cost Security,,160,199,USD,,
Minding Your Own Business,Edwards,,,,,
Minecraft : The Unlikely Tale of Markus 'Notch' Persson and the Game That Changed Everything,Daniel Goldberg and Linus Larsson,256,,,GAMES,GAM000000
Mint Juleps and Justice,Nancy Naigle,334,,,"FICTION_ROMANCE_SUSPENSE , DIVORCED PEOPLE_FICTION , PRIVATE INVESTIGATORS_FICTION","FIC027110 , FIC022090"
Misery,Stephen King,384,,,FICTION_HORROR,FIC015000
Missing Piece,Shel Silverstein and Shel Silverstein,112,20.89,CND,"CHILDREN'S FICTION , FABLES","JUV022000 , JUV000000"
Missing You in Atlantic City : A Novel by Jane Kelly,Jane Kelly,,14.95,USD,"FICTION_MYSTERY & DETECTIVE_WOMEN SLEUTHS , ATLANTIC CITY (N.J.)_FICTION",FIC022040
Moby Dick,Herman Melville,728,,,"AMERICAN FICTION (FICTIONAL WORKS BY ONE AUTHOR) , AHAB, CAPTAIN (FICTITIOUS CHARACTER)_FICTION",FIC019000
Modern C++ Design : Generic Programming and Design Patterns Applied,Andrei Alexandrescu,352,,,C PLUS PLUS (COMPUTER PROGRAM LANGUAGE),COM051070
Modern Physics,"Jeremy Bernstein, Paul M. Fishbane and Stephen G. Gasiorowicz",624,,,PHYSICS,SCI055000
Moneyball : The Art of Winning an Unfair Game,Michael Lewis,288,,,"OAKLAND ATHLETICS (BASEBALL TEAM) , BASEBALL_ECONOMIC ASPECTS , BASEBALL PLAYERS",SPO003000
Monstrous Regiment,Terry Pratchett,352,,,"DISCWORLD (IMAGINARY PLACE)_FICTION , FICTION_WAR & MILITARY , FICTION_FANTASY_GENERAL","FIC009000 , FIC032000"
Moonwalking with Einstein : The Art and Science of Remembering Everything,Joshua Foer,310,,,"MNEMONICS , MEMORY","PSY008000 , SEL030000"
Mortality,Christopher Hitchens,128,,,"TERMINALLY ILL_BIOGRAPHY , MORTALITY , DEATH , AUTHORS_BIOGRAPHY , CANCER_PATIENTS_BIOGRAPHY","BIO007000 , HEA039030 , BIO000000 , SOC036000"
Motherland Fatherland Homelandsexuals,Patricia Lockwood,80,,,POETRY (POETIC WORKS BY ONE AUTHOR),POE000000
Mountain Biking British Columbia,"Steve Dunn, Darrin Polischuk and Darrin Polischuk",312,29.95,CND,"MOUNTAIN BIKING , TRAILS , BRITISH COLUMBIA_DESCRIPTION AND TRAVEL","TRV034000 , SPO011000 , TRV006050"
